,Mkt-RF,SMB,HML,RMW,CMA,RF,excess_returns
2022-05-06,-0.85,-1.01,1.84,0.98,1.39,0.001,-0.04718282629347592
2022-05-09,-3.52,-0.05,1.33,4.26,-0.2,0.001,-0.0622648115188027
2022-05-10,0.22,-0.49,-1.22,-0.68,0.28,0.001,-0.02521047813013977
2022-05-11,-1.93,-0.61,2.61,0.62,1.02,0.001,-0.12181993354114584
2022-05-12,0.15,1.2,-1.23,-0.34,-1.12,0.001,0.04930684911373817
2022-05-13,2.74,0.37,-2.18,-2.14,-0.75,0.001,0.24783166546176172
2022-05-16,-0.59,0.09,1.31,0.19,1.31,0.001,-0.055256309305229956
2022-05-17,2.13,0.94,-0.05,-0.68,-0.31,0.001,-0.005945523121509199
2022-05-18,-4.06,0.46,1.54,-0.59,0.4,0.001,-0.033803266760991324
2022-05-19,-0.34,0.4,-0.81,-1.21,-0.91,0.001,0.04833201628911088
2022-05-20,-0.05,-0.13,-0.19,-0.1,0.19,0.001,-0.013732626244388313
2022-05-23,1.75,-0.92,1.31,-0.05,0.97,0.001,-0.002984077801659767
2022-05-24,-1.21,-0.46,1.83,1.39,1.26,0.001,-0.09543347150234505
2022-05-25,1.21,0.74,0.2,-0.51,-0.03,0.001,0.012172326024307512
2022-05-26,2.18,0.02,-0.61,-0.14,-0.35,0.001,0.004417139026504092
2022-05-27,2.58,0.03,-1.28,-0.65,-0.28,0.001,0.1175345272760625
2022-05-31,-0.71,-0.39,0.46,0.8,-0.21,0.001,-0.03182848663739679
2022-06-01,-0.74,0.23,0.8,-0.2,1.03,0.003,-0.0715885194112057
2022-06-02,2.08,0.4,-2.08,-0.42,-1.53,0.003,0.032218775638903296
2022-06-03,-1.63,1.03,0.55,-0.81,0.46,0.003,-0.057639148803379725
2022-06-06,0.33,0.04,0.66,0.47,0.17,0.003,-0.009543120950654013
2022-06-07,1.0,0.2,-0.15,-1.57,0.65,0.003,-0.0458100334079139
2022-06-08,-1.02,-0.27,-0.53,-0.7,-0.25,0.003,-0.04199084199268488
2022-06-09,-2.43,0.46,0.26,0.85,0.21,0.003,-0.04476615473627321
2022-06-10,-3.0,0.27,0.66,0.29,0.55,0.003,-0.030397235056974
2022-06-13,-4.12,-0.46,0.6,1.69,-0.31,0.003,-0.07726375517995654
2022-06-14,-0.26,0.11,0.11,0.11,0.05,0.003,-0.003
2022-06-15,1.55,-0.03,-1.67,-0.19,-1.15,0.003,-0.027896241751558134
2022-06-16,-3.52,-1.1,0.0,0.59,-0.62,0.003,-0.02569508083979066
2022-06-17,0.45,0.73,-2.68,0.37,-2.03,0.003,0.04054139282268021
2022-06-21,2.38,-0.83,0.24,-0.93,0.0,0.003,0.047069559200194955
2022-06-22,-0.19,0.05,-1.82,0.62,-1.59,0.003,-0.010947075245154255
2022-06-23,1.12,0.31,-3.89,0.5,-1.94,0.003,0.06242059585165671
2022-06-24,3.13,-0.42,-0.02,0.11,-0.37,0.003,-0.0004937367319911541
2022-06-27,-0.27,0.77,1.25,-0.33,1.27,0.003,0.13699998569488525
2022-06-28,-2.09,0.04,2.4,-0.69,1.33,0.003,-0.030960539214994306
2022-06-29,-0.19,-0.58,-1.34,1.08,-0.87,0.003,-0.04755719281304993
2022-06-30,-0.96,0.51,-0.14,0.9,-0.15,0.003,-0.032515937676315776
2022-07-01,1.15,-0.04,0.12,-0.8,-0.09,0.004,-0.008866175249831906
2022-07-05,0.48,1.12,-3.34,-1.85,-2.26,0.004,0.02289478058030037
2022-07-06,0.17,-0.87,-0.76,0.04,-0.35,0.004,0.023381012661389592
2022-07-07,1.76,0.87,-0.95,-0.8,-1.4,0.004,0.041191232694209434
2022-07-08,-0.07,0.08,-0.08,-0.26,-0.22,0.004,-0.006217345537544491
2022-07-11,-1.38,-0.99,1.61,1.7,1.4,0.004,-0.07733331637912322
2022-07-12,-0.89,0.88,0.52,0.16,0.92,0.004,0.003194180437007036
2022-07-13,-0.39,0.42,-0.41,0.03,-0.33,0.004,-0.008761900436850985
2022-07-14,-0.41,-0.45,-1.01,0.76,-0.01,0.004,-0.0183540538860234
2022-07-15,1.96,0.03,0.5,-0.18,-0.31,0.004,0.01663107779320683
2022-07-18,-0.71,0.35,1.01,0.2,-0.18,0.004,0.02097027847290534
